pin_id,file_name,board_name,pin_title,pin_description,destination_url,alt_text,keywords,style,property,template,status
pin-001,pin-001-coastal-before-after.png,Airbnb Host Tips,Turn your Airbnb welcome book into a mobile guest guide,"From scattered PDFs and notes to a polished beach property guide your guests will actually open. Mobile guest guide + printable PDF included. English, Spanish, and French versions. Early Access: $29.",https://myguestguide.com/villas/ocean-drive-retreat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=before-after-coastal,Before and after comparison: messy Airbnb welcome notes become a clean coastal mobile guest guide for Ocean Drive Retreat beach rental.,Airbnb welcome book | mobile guest guide | beach vacation rental | coastal rental host tools | Airbnb host tips,Coastal,Ocean Drive Retreat,template-01-before-after,ready
pin-002,pin-002-minimalist-before-after.png,Airbnb Host Tips,Turn your welcome notes into a clean digital guest guide,"From scattered house rules and check-in notes to a minimal, professional city rental guide. Mobile guide + printable PDF. English, Spanish, and French. Early Access $29.",https://myguestguide.com/villas/the-soho-loft/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=before-after-minimalist,Before and after: cluttered city apartment rental instructions become a clean minimalist mobile guest guide for The SoHo Loft.,city apartment Airbnb | minimalist guest guide | urban vacation rental | digital welcome book | Airbnb host tools,Minimalist,The SoHo Loft,template-01-before-after,ready
pin-003,pin-003-sunset-before-after.png,Airbnb Host Tips,Turn your welcome book into a mobile guest guide,"From scattered check-in notes to a warm, stylish tropical property guide. Mobile guide + printable PDF. English, Spanish, and French. Perfect for Tulum, Mexico, and Latin American rentals. Early Access $29.",https://myguestguide.com/villas/casa-selva-tulum/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=before-after-sunset,Before and after: scattered tropical rental instructions become a beautiful sunset-style mobile guest guide for Casa Selva Tulum.,tropical vacation rental | Tulum Airbnb guide | Latin American rental host | mobile guest guide | Airbnb welcome book ideas,Sunset,Casa Selva Tulum,template-01-before-after,ready
pin-004,pin-004-classic-before-after.png,Airbnb Host Tips,Turn your Airbnb materials into a polished guest guide,"From PDFs and notes to an elegant boutique flat guide with classic style. Mobile guide + printable PDF. English, Spanish, and French. Perfect for European boutique apartments. Early Access $29.",https://myguestguide.com/villas/le-marais-flat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=before-after-classic,Before and after: Parisian flat rental notes become an elegant classic-style mobile guest guide for Le Marais Flat.,boutique flat Paris | European vacation rental guide | classic Airbnb welcome book | Parisian rental host | elegant guest guide,Classic,Le Marais Flat,template-01-before-after,ready
pin-005,pin-005-coastal-demo-visual.png,Vacation Rental Guest Guide,See how your beach rental guest guide could look,"Coastal style mobile guest guide for beach vacation rentals. Real demo: Ocean Drive Retreat. Mobile-first, printable PDF, English, Spanish, and French. Early Access $29. Click to view the live demo.",https://myguestguide.com/villas/ocean-drive-retreat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=demo-visual-coastal,"Live demo of coastal-style mobile guest guide for Ocean Drive Retreat beach vacation rental, showing clean layout and trilingual options.",Airbnb guest guide demo | coastal vacation rental | beach rental host tools | mobile guest guide example | vacation rental guide ideas,Coastal,Ocean Drive Retreat,template-02-demo-visual,ready
pin-006,pin-006-minimalist-demo-visual.png,Vacation Rental Guest Guide,See how a city apartment guest guide looks,"Minimalist style mobile guest guide for city vacation rentals. Real demo: The SoHo Loft. Clean, editorial layout. Mobile-first, printable PDF, trilingual EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/the-soho-loft/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=demo-visual-minimalist,"Live demo of minimalist-style mobile guest guide for The SoHo Loft city apartment vacation rental, showing clean black and white layout.",city apartment guest guide | minimalist Airbnb welcome book | urban vacation rental guide | SoHo loft rental | modern rental host tools,Minimalist,The SoHo Loft,template-02-demo-visual,ready
pin-007,pin-007-sunset-demo-visual.png,Vacation Rental Guest Guide,See how a tropical rental guest guide looks,"Sunset style mobile guest guide for tropical vacation rentals. Real demo: Casa Selva Tulum. Warm, vibrant design. Mobile-first, printable PDF, trilingual EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/casa-selva-tulum/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=demo-visual-sunset,"Live demo of sunset-style mobile guest guide for Casa Selva Tulum tropical vacation rental, showing warm colors and trilingual layout.",tropical rental guest guide | Tulum vacation rental | sunset style Airbnb | Latin American rental host | jungle villa guide,Sunset,Casa Selva Tulum,template-02-demo-visual,ready
pin-008,pin-008-classic-demo-visual.png,Vacation Rental Guest Guide,See how a boutique flat guest guide looks,"Classic style mobile guest guide for boutique European flats. Real demo: Le Marais Flat, Paris. Elegant design, printable PDF, trilingual EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/le-marais-flat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=demo-visual-classic,"Live demo of classic-style mobile guest guide for Le Marais Flat boutique Paris apartment, showing elegant layout with dark green and gold tones.",boutique flat guest guide | Paris vacation rental | European rental host tools | classic design Airbnb | Le Marais Paris rental,Classic,Le Marais Flat,template-02-demo-visual,ready
pin-009,pin-009-coastal-printable-pdf.png,Airbnb Welcome Book Ideas,Mobile guest guide + printable PDF included,"One coastal beach rental guide your guests can open on their phone or print as a welcome book. Mobile-first + printable PDF. English, Spanish, and French. Early Access $29.",https://myguestguide.com/villas/ocean-drive-retreat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=printable-pdf-coastal,Coastal beach rental mobile guest guide with printable PDF version for Ocean Drive Retreat vacation rental.,printable Airbnb welcome book | vacation rental PDF guide | mobile and print guest guide | beach rental welcome book | Airbnb PDF template,Coastal,Ocean Drive Retreat,template-03-printable-pdf,ready
pin-010,pin-010-minimalist-printable-pdf.png,Airbnb Welcome Book Ideas,"Digital guide and printable PDF, one price",Clean city apartment welcome guide — share the link with guests or print it for your property. Mobile-first + printable PDF. Minimalist design. Early Access $29.,https://myguestguide.com/villas/the-soho-loft/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=printable-pdf-minimalist,Minimalist city apartment mobile guest guide with printable PDF version for The SoHo Loft vacation rental.,city apartment welcome book | printable rental guide | digital and print Airbnb guide | minimalist vacation rental tools | urban rental PDF guide,Minimalist,The SoHo Loft,template-03-printable-pdf,ready
